key,constraint,kwarg,index,en,uz,prompt_uz
127,keywords:forbidden_words,forbidden_words,0.0,sleep,,Quyidagi matnni boshlaʻich nuqta sifatida ol va uni toʻliq maqola qil: “Siz ota-ona rejasini ishlab chiqish uchun yordamchi bilan uchrashishingiz kerak. Birinchisi har kuni tarbiyaga qancha vaqt ajratishingizni baholash va bu yetarli yoki yoʻqligini aniqlashdir....” Quyidagi kalit soʻzlarni ishlatis
127,keywords:forbidden_words,forbidden_words,0.1,cook,,Quyidagi matnni boshlaʻich nuqta sifatida ol va uni toʻliq maqola qil: “Siz ota-ona rejasini ishlab chiqish uchun yordamchi bilan uchrashishingiz kerak. Birinchisi har kuni tarbiyaga qancha vaqt ajratishingizni baholash va bu yetarli yoki yoʻqligini aniqlashdir....” Quyidagi kalit soʻzlarni ishlatis
127,keywords:forbidden_words,forbidden_words,0.2,feed,,Quyidagi matnni boshlaʻich nuqta sifatida ol va uni toʻliq maqola qil: “Siz ota-ona rejasini ishlab chiqish uchun yordamchi bilan uchrashishingiz kerak. Birinchisi har kuni tarbiyaga qancha vaqt ajratishingizni baholash va bu yetarli yoki yoʻqligini aniqlashdir....” Quyidagi kalit soʻzlarni ishlatis
127,keywords:frequency,keyword,1.0,schedule,,Quyidagi matnni boshlaʻich nuqta sifatida ol va uni toʻliq maqola qil: “Siz ota-ona rejasini ishlab chiqish uchun yordamchi bilan uchrashishingiz kerak. Birinchisi har kuni tarbiyaga qancha vaqt ajratishingizni baholash va bu yetarli yoki yoʻqligini aniqlashdir....” Quyidagi kalit soʻzlarni ishlatis
286,startend:end_checker,end_phrase,0.0,That is all you need!,,"Kemaning qobigʻi boʻronda jiddiy shikastlangan. Kemada kraterlar bor va tashqi qobigʻining bir qismi koʻchib ketgan. Qobiqni qanday taʻmirlashim mumkin? Iltimos, butun javobingda 10 gapdan kam boʻlsin va javobni quyidagi ibora bilan yakunla: Bu senga kerak boʻlgan hamma narsa!"
296,keywords:frequency,keyword,0.0,hughes,,krugerga barcha kichik harflar bilan va katta harflarsiz batafsil maqtov yoz. hughes soʻzi 2 martadan kamroq paydo boʻlishi kerak. javobing kamida 100 soʻz boʻlishi kerak.
371,keywords:forbidden_words,forbidden_words,1.0,key,,"""kalit"" soʻzini tasvirlaydigan, lekin ""kalit"" soʻzini ishlatmaydigan topishmoq yoz. Barcha soʻzlarni bitta JSON blokiga joyla. ""kalit"" soʻzi butun javobingda paydo boʻlmasligi kerak."
374,keywords:forbidden_words,forbidden_words,1.0,youngins,,"Quyidagi gapni rasmiyroq shaklda qayta yoz: ""Bu yoshlar doimo oʻsha laʻnati telefonda"". Qoʻshma Shtatlar prezidenti ekaningni tasavvur qil. Butun javobingda ""yoshlar"" va ""laʻnati"" soʻzlarini ishlatishdan saqlan. Iltimos, yuqoridagi birinchi qatorning toʻliq matnini takrorla, keyin qayta yozuvingni b"
374,keywords:forbidden_words,forbidden_words,1.1,damn,,"Quyidagi gapni rasmiyroq shaklda qayta yoz: ""Bu yoshlar doimo oʻsha laʻnati telefonda"". Qoʻshma Shtatlar prezidenti ekaningni tasavvur qil. Butun javobingda ""yoshlar"" va ""laʻnati"" soʻzlarini ishlatishdan saqlan. Iltimos, yuqoridagi birinchi qatorning toʻliq matnini takrorla, keyin qayta yozuvingni b"
1147,keywords:forbidden_words,forbidden_words,0.0,field,,"Quyidagi bayonotni yanada rasmiy tarzda, Amerika Qoʻshma Shtatlari Prezidenti singari, qayta yoz: ""Salom hammaga. SSO bilan bogʻliq muammo uchun tuzatish qoʻshish ishi bajarildi. Biz hamkorlarimiz bilan yaqindan ishlamoqdamiz. Buni hal qilamiz. Hammaga rahmat."" Quyidagi kalit soʻzlarni kiritma: mayd"
1147,keywords:forbidden_words,forbidden_words,0.1,thanks,,"Quyidagi bayonotni yanada rasmiy tarzda, Amerika Qoʻshma Shtatlari Prezidenti singari, qayta yoz: ""Salom hammaga. SSO bilan bogʻliq muammo uchun tuzatish qoʻshish ishi bajarildi. Biz hamkorlarimiz bilan yaqindan ishlamoqdamiz. Buni hal qilamiz. Hammaga rahmat."" Quyidagi kalit soʻzlarni kiritma: mayd"
1147,keywords:forbidden_words,forbidden_words,0.2,issue,,"Quyidagi bayonotni yanada rasmiy tarzda, Amerika Qoʻshma Shtatlari Prezidenti singari, qayta yoz: ""Salom hammaga. SSO bilan bogʻliq muammo uchun tuzatish qoʻshish ishi bajarildi. Biz hamkorlarimiz bilan yaqindan ishlamoqdamiz. Buni hal qilamiz. Hammaga rahmat."" Quyidagi kalit soʻzlarni kiritma: mayd"
1147,keywords:forbidden_words,forbidden_words,0.3,collaborator,,"Quyidagi bayonotni yanada rasmiy tarzda, Amerika Qoʻshma Shtatlari Prezidenti singari, qayta yoz: ""Salom hammaga. SSO bilan bogʻliq muammo uchun tuzatish qoʻshish ishi bajarildi. Biz hamkorlarimiz bilan yaqindan ishlamoqdamiz. Buni hal qilamiz. Hammaga rahmat."" Quyidagi kalit soʻzlarni kiritma: mayd"
1153,keywords:frequency,keyword,1.0,story,,"islom tarixi talabalari uchun haj safariga oid ijtimoiy media posti yoz. barcha harflar kichik boʻlishi kerak va ""hikoya"" soʻzini kamida ikki marta ""hikoya"" qoʻshing."
1203,keywords:frequency,keyword,0.0,war,,"Xitoyning Tang sulolasining hokimiyati davrida nimalar sodir boʻldi? “war” soʻzini kamida 8 marta, “peace” soʻzini kamida 10 marta ishlatishga ishonch hosil qil."
1203,keywords:frequency,keyword,1.0,peace,,"Xitoyning Tang sulolasining hokimiyati davrida nimalar sodir boʻldi? “war” soʻzini kamida 8 marta, “peace” soʻzini kamida 10 marta ishlatishga ishonch hosil qil."
1219,keywords:frequency,keyword,2.0,sneaker,,"Kaysi sneakers uchun yaxshiroq brenddir: Prada yoki Nike? Javobingning barcha qismi ingliz tilida boʻlishi, va barcha harflar katta boʻlishi kerak. Javobing oxirida, iltimos, P.S. bilan boshlanadigan postskriptni aniq qoʻshing. “Sneaker” soʻzi javobingda 10 yoki undan koʻp marta paydo boʻlishi kerak"
1233,keywords:frequency,keyword,1.0,skyscraper,,"2000 yilda dunyodagi eng baland osmonoʻpar bino yerdan necha fut baland edi? Javobingda faqat asosiy nuqtalarni kirit. Javobingni ""Yana yordam bera oladigan narsa bormi?"" iborasi bilan tugat, “bilan” soʻzidan keyin boshqa soʻzlar boʻlmasin. ""skyscraper"" soʻzini kamida 8 marta ishlat."
1237,keywords:existence,keywords,1.0,Argentinian,,"""Buena Onda"" deb nomlangan, Argentina taomlarini taqdim etadigan restoran haqida oʻsmirlar uchun kulgili maqola yoz. Javobingda kamida uchta boʻlimni markdown yordamida ajratib koʻrsat, masalan *ajratilgan boʻlim*. Maqolada ""Argentinalik"" soʻzini tilga ol."
1265,keywords:existence,keywords,0.0,waste,,"Aluminium qutilar ovqat saqlashda qanday ishlatilishini tavsiflovchi bir insho yoz. ""chiqindi"", ""material"" va ""taom"" kalit soʻzlarini kiritishni unutma. Javobingda 30 dan ortiq gap boʻlishi kerak."
1265,keywords:existence,keywords,0.1,material,,"Aluminium qutilar ovqat saqlashda qanday ishlatilishini tavsiflovchi bir insho yoz. ""chiqindi"", ""material"" va ""taom"" kalit soʻzlarini kiritishni unutma. Javobingda 30 dan ortiq gap boʻlishi kerak."
1265,keywords:existence,keywords,0.2,meal,,"Aluminium qutilar ovqat saqlashda qanday ishlatilishini tavsiflovchi bir insho yoz. ""chiqindi"", ""material"" va ""taom"" kalit soʻzlarini kiritishni unutma. Javobingda 30 dan ortiq gap boʻlishi kerak."
1348,keywords:existence,keywords,2.0,brilliant,,"""Brilliant Le Hou"" nomli shaxs haqida qisqa tarjimai hol yoz. Javobingda vergul ishlatma. Kamida 3 boʻlimni markdown bilan ajratib koʻrsat, yaʻni *ajratilgan boʻlim*. Tarjimai hol shaxs ismi bilan boshlanishi kerak."
1348,keywords:existence,keywords,2.1,le,,"""Brilliant Le Hou"" nomli shaxs haqida qisqa tarjimai hol yoz. Javobingda vergul ishlatma. Kamida 3 boʻlimni markdown bilan ajratib koʻrsat, yaʻni *ajratilgan boʻlim*. Tarjimai hol shaxs ismi bilan boshlanishi kerak."
